group;axis;value;;
2003;21;6.458.838.568;;
2004;21;7.127.906.977;;
2005;21;7.846.092.771;;
2006;21;7.505.499.124;;
2007;21;7.202.123.142;;
2008;21;6.859.936.153;;
2009;21;5.894.525.277;;
2010;21;62.052.898;;
2011;21;5.698.372.863;;
2012;21;50.25;;
2013;21;4.982.814.178;;
2014;21;545.972.676;;
2015;21;4.355.346.348;;
2016;21;4.471.027.316;;
1998;22;5.371.947.777;;
1999;22;5.449.245.491;;
2000;22;575.851.735;;
2001;22;6.231.794.125;;
2002;22;6.542.416.072;;
2003;22;6.474.706.314;;
2004;22;6.863.863.338;;
2005;22;7.984.514.768;;
2006;22;7.373.387.381;;
2007;22;7.013.014.608;;
2008;22;6.563.859.275;;
2009;22;5.568.731.491;;
2010;22;6.061.353.877;;
2011;22;5.490.071.507;;
2012;22;482.757.372;;
2013;22;4.827.626.982;;
2014;22;5.296.555.819;;
2015;22;4.273.017.621;;
2016;22;438.551.499;;
1998;23;5.256.292.095;;
1999;23;5.311.497.227;;
2000;23;5.618.526.715;;
2001;23;6.198.017.188;;
2002;23;6.298.693.348;;
2003;23;6.268.227.425;;
2004;23;6.654.190.687;;
2005;23;774.019.975;;
2006;23;7.087.248.322;;
2007;23;6.723.154.809;;
2008;23;6.187.677.092;;
2009;23;5.196.270.684;;
2010;23;571.531.052;;
2011;23;5.136.205.468;;
2012;23;4.492.202.073;;
2013;23;4.585.360.603;;
2014;23;5.051.793.655;;
2015;23;4.096.900.126;;
2016;23;4.230.922.575;;
